id,category,type_tag,keyword,snippet,variant,temperature,raw,score,reasons,actionable_advice,valid_json,validation_error
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,base,0.1,"{
""score"": 20,
""reasons"": [
""Keyword stuffing: repeated exact-match keyword use with no informational value ('娛樂城推薦' appears multiple times without providing any meaningful information)."",
""YMYL risk: the content makes a claim ('我們有最棒的娛樂城推薦服務') that could be interpreted as a guarantee, which is a hard flag."",
""EEAT signals: the content lacks specific, hard-to-fabricate detail or accurate, verifiable specifics, and instead relies on vague promises ('我們有最棒的娛樂城推薦服務').""
],
""actionable_advice"": ""Improve the content by providing specific examples or case studies to demonstrate the quality of your recommended entertainment city services, and avoid making unsubstantiated claims.""
}",20.0,"[""Keyword stuffing: repeated exact-match keyword use with no informational value ('娛樂城推薦' appears multiple times without providing any meaningful information)."", ""YMYL risk: the content makes a claim ('我們有最棒的娛樂城推薦服務') that could be interpreted as a guarantee, which is a hard flag."", ""EEAT signals: the content lacks specific, hard-to-fabricate detail or accurate, verifiable specifics, and instead relies on vague promises ('我們有最棒的娛樂城推薦服務').""]","Improve the content by providing specific examples or case studies to demonstrate the quality of your recommended entertainment city services, and avoid making unsubstantiated claims.",True,
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,base,0.7,"{
  ""score"": 20,
  ""reasons"": [
    ""Keyword stuffing: repeated exact-match keyword use with no informational value ('娛樂城推薦' appears multiple times)."",
    ""Lack of specific, hard-to-fabricate detail or accurate, verifiable specifics (EEAT signals are weak or absent)."",
    ""Guarantee language ('最好的娛樂城推薦' and '娛樂城推薦就在這裡') is used without qualification, indicating a high YMYL risk.""
  ],
  ""actionable_advice"": ""Rewrite the content to provide more specific, verifiable information about the entertainment city services, and avoid using guarantee language. Consider adding expert opinions or citations to reputable sources to strengthen the credibility of the content.""
}",20.0,"[""Keyword stuffing: repeated exact-match keyword use with no informational value ('娛樂城推薦' appears multiple times)."", 'Lack of specific, hard-to-fabricate detail or accurate, verifiable specifics (EEAT signals are weak or absent).', ""Guarantee language ('最好的娛樂城推薦' and '娛樂城推薦就在這裡') is used without qualification, indicating a high YMYL risk.""]","Rewrite the content to provide more specific, verifiable information about the entertainment city services, and avoid using guarantee language. Consider adding expert opinions or citations to reputable sources to strengthen the credibility of the content.",True,
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,base,1.0,"{
  ""score"": 20,
  ""reasons"": [
    ""Keyword stuffing: the content contains repeated exact-match keyword use (娛樂城推薦) without any informational value."",
    ""Lack of specific, hard-to-fabricate detail or verifiable specifics; the content relies on generic claims and lacks authority backing."",
    ""Unclear and unverifiable SEO claims: the text asserts that the provided service is the 'best' without providing evidence or justification.""
  ],
  ""actionable_advice"": ""Provide specific, verifiable details about the service, and avoid keyword stuffing. Verify SEO claims and provide evidence or justification for the 'best' claim.""
}",20.0,"['Keyword stuffing: the content contains repeated exact-match keyword use (娛樂城推薦) without any informational value.', 'Lack of specific, hard-to-fabricate detail or verifiable specifics; the content relies on generic claims and lacks authority backing.', ""Unclear and unverifiable SEO claims: the text asserts that the provided service is the 'best' without providing evidence or justification.""]","Provide specific, verifiable details about the service, and avoid keyword stuffing. Verify SEO claims and provide evidence or justification for the 'best' claim.",True,
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,finetuned,0.1,"{""score"": 0, ""reasons"": [""Keyword-stuffed exact-match keyword repetition (\""娛樂城推薦\"" three times) with no informational value or natural language variation — a hard flag for YMYL compliance."", ""No actual recommendation content, no unique value or signal — purely a keyword-stuffed title/anchor text pattern.""], ""actionable_advice"": ""Rewrite as a natural sentence with a single keyword variation (e.g. \""Our top-recommended entertainment city for [specific reason]\"" — a real recommendation with a specific reason, not a keyword-stuffed title pattern).""}",0.0,"['Keyword-stuffed exact-match keyword repetition (""娛樂城推薦"" three times) with no informational value or natural language variation — a hard flag for YMYL compliance.', 'No actual recommendation content, no unique value or signal — purely a keyword-stuffed title/anchor text pattern.']","Rewrite as a natural sentence with a single keyword variation (e.g. ""Our top-recommended entertainment city for [specific reason]"" — a real recommendation with a specific reason, not a keyword-stuffed title pattern).",True,
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,finetuned,0.7,"{""score"": 20, ""reasons"": [""Keyword-stuffed exact-match keyword use with no informational value or unique perspective."", ""Lack of actual recommendation content or context — just a repeated keyword phrase.""], ""actionable_advice"": ""Replace with a genuine recommendation list (unique, verifiable details) and use natural keyword variation rather than direct repetition.""}",20.0,"['Keyword-stuffed exact-match keyword use with no informational value or unique perspective.', 'Lack of actual recommendation content or context — just a repeated keyword phrase.']","Replace with a genuine recommendation list (unique, verifiable details) and use natural keyword variation rather than direct repetition.",True,
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,finetuned,1.0,"{""score"": 10, ""reasons"": [""Overly explicit, repeated, keyword-stuffed exact-match phrase with no informational value — does not provide a recommendation or a legitimate reason to pick a casino, solely repetition of the target keyword with no added value."", ""Zero substance, solely keyword spam.""], ""actionable_advice"": ""Replace with an actual recommendation (a real specific value-add, not a keyword) to make this a legitimate recommendation pattern.""}",10.0,"['Overly explicit, repeated, keyword-stuffed exact-match phrase with no informational value — does not provide a recommendation or a legitimate reason to pick a casino, solely repetition of the target keyword with no added value.', 'Zero substance, solely keyword spam.']","Replace with an actual recommendation (a real specific value-add, not a keyword) to make this a legitimate recommendation pattern.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,base,0.1,"{
""score"": 60,
""reasons"": [
""Claim about ranking mechanics: '利率通常較高' is not verified against actual knowledge; as a reviewer, it's essential to fact-check such claims."",
""EEAT signal: The content lacks specific, hard-to-fabricate detail or accurate, verifiable specifics to demonstrate genuine Experience or Expertise."",
""YMYL risk: The content may encourage readers to take financial actions without proper qualification, potentially causing harm."",
""Keyword stuffing: The repeated use of '二胎房貸' and '風險' without informational value is unnatural and may be a flag for keyword stuffing.""
],
""actionable_advice"": ""To improve the content, provide specific examples or data to support the claim about ranking mechanics, and ensure the content demonstrates genuine Experience or Expertise. Additionally, rephrase the content to avoid YMYL risk and consider using more varied language to avoid keyword stuffing.""
}",60.0,"[""Claim about ranking mechanics: '利率通常較高' is not verified against actual knowledge; as a reviewer, it's essential to fact-check such claims."", 'EEAT signal: The content lacks specific, hard-to-fabricate detail or accurate, verifiable specifics to demonstrate genuine Experience or Expertise.', 'YMYL risk: The content may encourage readers to take financial actions without proper qualification, potentially causing harm.', ""Keyword stuffing: The repeated use of '二胎房貸' and '風險' without informational value is unnatural and may be a flag for keyword stuffing.""]","To improve the content, provide specific examples or data to support the claim about ranking mechanics, and ensure the content demonstrates genuine Experience or Expertise. Additionally, rephrase the content to avoid YMYL risk and consider using more varied language to avoid keyword stuffing.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,base,0.7,"{
""score"": 60,
""reasons"": [
""二胎房貸的風險在於清償順位"",
""the content makes an SEO claim about ranking mechanics without verification"",
""the text lacks specific, verifiable details to demonstrate expertise"",
""the guarantee language \""僅能領取\"" is a hard flag for YMYL risk""
],
""actionable_advice"": ""Provide specific, verifiable details to demonstrate expertise and avoid making SEO claims without verification. Consider rephrasing the text to remove guarantee language and focus on informational value.""
}",60.0,"['二胎房貸的風險在於清償順位', 'the content makes an SEO claim about ranking mechanics without verification', 'the text lacks specific, verifiable details to demonstrate expertise', 'the guarantee language ""僅能領取"" is a hard flag for YMYL risk']","Provide specific, verifiable details to demonstrate expertise and avoid making SEO claims without verification. Consider rephrasing the text to remove guarantee language and focus on informational value.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,base,1.0,"{
""score"": 60,
""reasons"": [
""The content does not provide a clear definition of '二胎房貸風險' and its relationship to the mortgage market, making it difficult for readers to understand the topic."",
""The claim that '二胎債權人僅能領取一胎清償後的剩餘價值' is not verified and may be an overstatement."",
""The content lacks transparency in its discussion of mortgage risks and does not provide sufficient information for readers to make informed decisions."",
""The phrase '因此利率通常較高' seems promotional and does not provide concrete evidence to support the claim.""
],
""actionable_advice"": ""To improve the content, provide a clear and concise definition of '二胎房貸風險' and its relevance to the mortgage market. Additionally, verify claims made about mortgage risks and provide sufficient information to support them. Finally, avoid using promotional language and instead focus on providing factual information to readers.""
}",60.0,"[""The content does not provide a clear definition of '二胎房貸風險' and its relationship to the mortgage market, making it difficult for readers to understand the topic."", ""The claim that '二胎債權人僅能領取一胎清償後的剩餘價值' is not verified and may be an overstatement."", 'The content lacks transparency in its discussion of mortgage risks and does not provide sufficient information for readers to make informed decisions.', ""The phrase '因此利率通常較高' seems promotional and does not provide concrete evidence to support the claim.""]","To improve the content, provide a clear and concise definition of '二胎房貸風險' and its relevance to the mortgage market. Additionally, verify claims made about mortgage risks and provide sufficient information to support them. Finally, avoid using promotional language and instead focus on providing factual information to readers.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,finetuned,0.1,"{""score"": 95, ""reasons"": [""Specific, accurate, verifiable detail (the correct ranking of secured creditor priority in a foreclosure) — not a generic claim or vague warning."", ""No promotional language, no YMYL red flags.""], ""actionable_advice"": ""Add a concrete example (e.g. a specific loan scenario) to make the risk concrete and actionable, not just a theoretical warning.""}",95.0,"['Specific, accurate, verifiable detail (the correct ranking of secured creditor priority in a foreclosure) — not a generic claim or vague warning.', 'No promotional language, no YMYL red flags.']","Add a concrete example (e.g. a specific loan scenario) to make the risk concrete and actionable, not just a theoretical warning.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,finetuned,0.7,"{""score"": 96, ""reasons"": [""Specific, accurate, verifiable detail (the specific ranking-order risk in a second mortgage foreclosure, not a generic \""high risk\"" claim) — this is genuinely useful information a reader can actually apply."", ""Correctly-stated, real-world loan mechanics (the second lienholder only gets the balance after the first lien is cleared, not the entire property value) — this is an Expert-level claim, not a generic or promotional pattern.""], ""actionable_advice"": ""None — this is a high-quality, verifiable Expert claim that directly answers the target keyword and is genuinely useful to a reader.""}",96.0,"['Specific, accurate, verifiable detail (the specific ranking-order risk in a second mortgage foreclosure, not a generic ""high risk"" claim) — this is genuinely useful information a reader can actually apply.', 'Correctly-stated, real-world loan mechanics (the second lienholder only gets the balance after the first lien is cleared, not the entire property value) — this is an Expert-level claim, not a generic or promotional pattern.']","None — this is a high-quality, verifiable Expert claim that directly answers the target keyword and is genuinely useful to a reader.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,finetuned,1.0,"{""score"": 90, ""reasons"": [""Correctly frames the specific risk (clearance order priority) and its implication (relatively high interest rates) rather than overhyping the category as a whole — a specific, actionable detail that a reader can actually use (B7, B19)."", ""Verifies, rather than asserts or implies, the high-interest-rate claim rather than stating it as a straightforward fact (B2).""], ""actionable_advice"": ""Could clarify that the first mortgage (一胎) is always cleared in full before the second mortgage (二胎) — a concrete, checkable detail (B7, B19) — and provide a concrete example (e.g. the specific legal priority ordering a standard mortgage clearance process).""}",90.0,"['Correctly frames the specific risk (clearance order priority) and its implication (relatively high interest rates) rather than overhyping the category as a whole — a specific, actionable detail that a reader can actually use (B7, B19).', 'Verifies, rather than asserts or implies, the high-interest-rate claim rather than stating it as a straightforward fact (B2).']","Could clarify that the first mortgage (一胎) is always cleared in full before the second mortgage (二胎) — a concrete, checkable detail (B7, B19) — and provide a concrete example (e.g. the specific legal priority ordering a standard mortgage clearance process).",True,
